"size","dtype","kurtx","skewx","mean_AB_exp","mean_AB_Weibull","var_AB_exp","var_AB_Weibull","tm_AB_exp","tm_AB_Weibull","fm_AB_exp","fm_AB_Weibull","mean_SE_exp","mean_SE_Weibull","var_SE_exp","var_SE_Weibull","tm_SE_exp","tm_SE_Weibull","fm_SE_exp","fm_SE_Weibull"
1800000,1,18.6,3.08660024002455,4,5,12,3,12,3,3,3,7,7,7,7,11,7,11,7
1800000,1,18.8,3.1045594777057,4,5,12,3,12,3,3,3,7,7,7,11,11,3,11,11
1800000,1,19,3.12239430437605,4,9,12,3,12,3,3,3,7,7,7,7,11,3,11,7
1800000,1,19.2,3.14010704922916,4,9,12,3,12,3,3,3,7,7,7,7,11,7,11,7
1800000,1,19.4,3.15769997089169,4,7,12,3,12,3,3,3,7,7,7,7,11,3,11,7
1800000,1,19.6,3.1751752603652,4,7,12,3,12,3,3,3,7,7,7,7,11,3,11,7
1800000,1,19.8,3.1925350438122,4,3,12,3,12,3,3,3,7,7,7,11,11,7,11,11
1800000,1,20,3.20978138519678,4,3,12,3,12,3,3,3,7,7,9,11,11,3,11,11
1800000,1,20.2,3.22691628878859,4,3,12,3,12,3,3,3,7,7,9,11,11,3,11,11
1800000,1,20.4,3.24394170153907,4,3,12,3,12,3,3,3,7,7,7,7,11,3,11,7
1800000,1,20.6,3.26085951533761,4,3,12,3,12,3,3,3,7,7,7,7,11,3,11,7
1800000,1,20.7999999999999,3.27767156915499,4,3,12,3,12,3,3,3,7,7,7,7,11,7,11,7
1800000,1,21,3.29437965108094,4,3,12,3,12,3,3,3,7,7,9,7,11,3,11,7
1800000,1,21.2,3.31098550026216,4,3,12,3,12,3,3,3,7,7,9,7,11,3,11,7
1800000,1,21.3999999999999,3.32749080874656,4,3,12,3,12,3,3,3,7,7,9,7,11,3,11,7
1800000,1,21.6000000000001,3.34389722323944,4,3,12,3,12,3,3,3,7,7,9,7,11,3,11,7
1800000,1,21.8,3.36020634677632,4,3,12,3,12,3,3,3,7,7,9,7,11,3,11,7
1800000,1,22,3.37641974031768,4,3,12,3,12,3,3,3,7,7,7,7,11,7,11,7
1800000,1,22.1999999999999,3.39253892426949,4,3,12,3,12,3,3,3,7,7,7,7,11,3,11,7
1800000,1,22.4,3.40856537993421,4,3,12,3,12,3,3,3,7,7,7,7,11,3,11,7
1800000,1,22.6,3.42450055089573,4,3,12,3,12,1,3,3,7,7,9,7,11,3,11,7
1800000,1,22.8,3.44034584434206,4,3,12,3,12,3,3,3,7,7,7,7,11,3,11,7
1800000,1,23,3.45610263232912,4,3,12,3,12,3,3,3,7,7,9,7,11,3,11,7
1800000,1,23.1999999999999,3.47177225298877,4,3,12,3,12,3,3,3,7,7,7,7,11,3,11,7
1800000,1,23.4,3.48735601168416,4,3,12,3,12,3,3,3,7,7,9,7,11,3,11,7
1800000,1,23.6,3.50285518211498,4,3,12,3,12,3,3,3,7,7,9,7,11,3,11,7
1800000,1,23.7999999999999,3.51827100737553,4,3,12,3,12,3,3,3,7,7,9,7,11,3,11,7
1800000,1,24,3.53360470096768,4,3,12,3,12,3,3,3,7,7,9,7,11,7,11,7
1800000,1,24.2,3.5488574477714,4,3,12,3,12,3,3,3,7,7,9,7,11,3,11,7
1800000,1,24.4,3.56403040497475,4,3,12,3,12,3,3,3,7,7,9,7,11,3,11,7
1800000,1,24.6,3.57912470296558,4,3,12,3,12,3,3,3,7,7,9,7,11,3,11,7
1800000,1,24.8,3.59414144618661,4,3,12,3,12,3,3,3,7,7,9,7,11,3,11,7
1800000,1,25,3.60908171395603,4,3,12,3,12,3,3,3,7,7,9,7,11,7,11,7
1800000,1,25.1999999999999,3.62394656125491,4,3,12,3,12,3,3,3,7,7,9,7,11,3,11,7
1800000,1,25.4,3.63873701948347,4,3,12,3,8,3,3,3,7,7,9,7,11,3,11,7
1800000,1,25.6,3.65345409718729,4,3,12,3,8,3,3,3,7,7,9,7,11,3,11,11
1800000,1,25.8,3.66809878075523,4,3,12,3,8,3,3,3,7,7,9,7,11,7,11,11
1800000,1,26,3.68267203509023,4,3,12,3,8,3,3,3,7,7,9,7,11,3,11,11
5400,1,2.80000000000008,0.293682637210036,3,3,12,4,8,5,12,8,3,3,8,7,3,1,11,8
5400,1,2.89999999999998,0.399876548049676,3,11,12,1,8,3,12,9,3,3,4,3,3,3,11,2
5400,1,2.99999999999998,0.48012949922788,3,11,12,7,8,7,12,3,3,3,1,3,11,8,5,4
5400,1,3.19999999999996,0.606466870301773,3,11,12,10,8,3,12,11,3,3,4,10,11,10,5,6
5400,1,3.39999999999997,0.708681957162054,3,3,12,6,4,1,10,11,3,3,6,6,11,8,11,2
5400,1,3.59999999999997,0.79681769802529,3,11,12,1,8,3,10,5,7,3,3,4,11,3,11,4
5400,1,3.8,0.875416510651157,5,11,12,12,8,1,10,3,7,7,7,2,11,11,5,2
5400,1,4.00000000000001,0.946995820935936,1,3,12,2,8,1,10,7,7,7,3,8,11,7,5,8
5400,1,4.20000000000003,1.01312480394597,1,5,12,5,8,7,10,3,7,7,11,3,11,5,11,8
5400,1,4.39999999999999,1.07486051467478,1,11,12,7,8,3,10,5,7,7,11,3,11,5,11,12
5400,1,4.6,1.13295557377867,1,3,12,7,8,1,10,5,7,7,11,7,11,11,11,12
5400,1,4.79999999999998,1.1879686123322,3,3,12,3,8,1,10,5,7,7,11,3,11,11,11,12
5400,1,5,1.24032794840138,3,3,12,6,12,1,10,3,7,7,7,3,11,11,11,12
5400,1,5.2,1.29037064724064,4,3,12,1,12,1,10,7,7,7,3,3,11,11,11,12
5400,1,5.39999999999996,1.33836768922713,2,3,12,11,12,1,10,7,7,7,7,7,11,11,11,3
5400,1,5.60000000000003,1.38454084889859,2,3,12,11,12,1,10,7,7,7,7,3,11,11,11,3
5400,1,5.80000000000001,1.42907439781766,4,3,12,11,8,1,10,3,7,7,7,3,11,11,5,7
5400,1,6.00000000000001,1.47212344975772,2,3,12,5,8,5,10,3,7,7,7,7,11,11,11,7
5400,1,6.19999999999997,1.51382005642444,2,3,12,5,12,11,10,7,7,7,3,3,11,11,11,7
5400,1,6.39999999999998,1.55427775379429,2,11,12,11,12,11,10,5,7,7,3,3,11,11,11,7
5400,1,6.59999999999997,1.59359501524584,2,11,12,11,12,11,10,11,7,7,7,3,11,11,11,7
5400,1,6.79999999999998,1.63185791687235,2,11,12,11,12,5,10,11,7,7,7,7,11,11,11,7
5400,1,7.00000000000001,1.66914222433368,4,3,12,11,12,3,10,5,7,7,11,7,11,11,11,3
5400,1,7.20000000000001,1.70551504783168,2,3,12,7,12,3,12,7,7,7,11,7,11,11,11,3
5400,1,7.39999999999996,1.7410361697907,4,3,12,7,12,3,3,3,7,7,7,3,11,11,11,7
5400,1,7.60000000000003,1.77575912113176,4,3,12,7,12,3,3,3,7,7,7,3,11,11,11,7
5400,1,7.80000000000003,1.8097320620562,4,3,12,3,8,3,3,3,7,7,7,3,11,11,11,3
5400,1,8.00000000000007,1.84299850911548,6,3,12,1,8,3,3,3,7,7,7,3,11,11,11,7
5400,1,8.20000000000006,1.87559794017716,8,3,12,1,8,3,3,3,7,7,7,3,11,11,11,7
5400,1,8.39999999999999,1.90756630148484,10,1,12,1,8,1,3,3,7,7,7,3,11,11,11,7
