"samplesize","type","kurtx.x1","skewx.x1","ikurt1.rkurtall189","ikurt2","iskew1","iskew2"
2654208,1,9.19999999999997,2.02974661062705,2,1,2,1
2654208,1,9.39999999999998,2.05900185083196,2,1,2,1
2654208,1,9.59999999999997,2.08778756086947,2,1,2,1
2654208,1,9.8,2.11612402036781,2,1,2,1
2654208,1,9.99999999999999,2.14403010022796,2,1,2,1
2654208,1,10.2,2.17152339599684,1,2,2,1
2654208,1,10.4,2.19862034540709,2,1,2,1
2654208,1,10.6,2.22533633232504,1,2,2,1
2654208,1,10.8,2.25168577898244,2,1,2,1
2654208,1,11,2.27768222806872,1,2,2,1
2654208,1,11.1999999999999,2.30333841601573,1,2,2,1
2654208,1,11.4,2.32866633860425,2,1,2,1
2654208,1,11.6,2.35367730985473,2,1,2,1
2654208,1,11.8,2.37838201502463,2,1,2,1
2654208,1,12,2.40279055841865,1,2,2,1
2654208,1,12.2,2.4269125066197,1,2,2,1
2654208,1,12.4,2.45075692766633,1,2,2,1
2654208,1,12.6,2.47433242663209,1,2,2,1
2654208,1,12.8,2.49764717800315,2,1,2,1
2654208,1,13,2.52070895519976,2,1,2,1
2654208,1,13.2,2.54352515754396,2,1,2,1
2654208,1,13.4,2.5661028349387,1,2,2,1
2654208,1,13.6,2.58844871049157,1,2,2,1
2654208,1,13.8,2.61056920128876,1,2,2,1
2654208,1,14,2.632470437501,2,1,2,1
2654208,1,14.2,2.65415827998245,1,2,2,1
2654208,1,14.4,2.6756383365054,2,1,2,1
2654208,1,14.6,2.69691597675802,1,2,2,1
2654208,1,14.8,2.71799634621836,2,1,2,1
2654208,1,15,2.73888437900616,2,1,2,1
2654208,1,15.2,2.75958480980281,2,1,2,1
2654208,1,15.3999999999999,2.78010218492096,2,1,2,1
2654208,1,15.6,2.80044087259686,1,2,2,1
2654208,1,15.8,2.82060507257085,2,1,2,1
2654208,1,16,2.84059882501572,1,2,2,1
2654208,1,16.2,2.86042601886603,1,2,2,1
2654208,1,16.4,2.88009039959704,1,2,2,1
2654208,1,16.6,2.89959557649698,2,1,2,1
2654208,1,16.8,2.91894502947258,1,2,2,1
2654208,1,17,2.93814211542352,1,2,2,1
2654208,1,17.2,2.95719007421951,1,2,2,1
2654208,1,17.4,2.97609203430904,2,1,2,1
2654208,1,17.6,2.99485101798764,2,1,2,1
2654208,1,17.8,3.01346994635059,2,1,2,1
2654208,1,18,3.03195164395263,2,1,2,1
2654208,1,18.2,3.05029884319575,2,1,2,1
2654208,1,18.4,3.06851418846428,2,1,2,1
2654208,1,18.6,3.08660024002455,1,2,2,1
2654208,1,18.8,3.1045594777057,1,2,2,1
2654208,1,19,3.12239430437605,2,1,2,1
2654208,1,19.2,3.14010704922916,2,1,2,1
2654208,1,19.4,3.15769997089169,2,1,2,1
2654208,1,19.6,3.1751752603652,2,1,2,1
2654208,1,19.8,3.1925350438122,2,1,2,1
2654208,1,20,3.20978138519678,2,1,2,1
2654208,1,20.2,3.22691628878859,2,1,2,1
2654208,1,20.4,3.24394170153907,2,1,2,1
2654208,1,20.6,3.26085951533761,2,1,2,1
2654208,1,20.7999999999999,3.27767156915499,2,1,2,1
2654208,1,21,3.29437965108094,2,1,2,1
2654208,1,21.2,3.31098550026216,2,1,2,1
2654208,1,21.3999999999999,3.32749080874656,2,1,2,1
2654208,1,21.6000000000001,3.34389722323944,2,1,2,1
2654208,1,21.8,3.36020634677632,2,1,2,1
2654208,1,22,3.37641974031768,2,1,2,1
2654208,1,22.1999999999999,3.39253892426949,2,1,2,1
2654208,1,22.4,3.40856537993421,2,1,2,1
2654208,1,22.6,3.42450055089573,2,1,2,1
2654208,1,22.8,3.44034584434206,2,1,2,1
2654208,1,23,3.45610263232912,2,1,2,1
2654208,1,23.1999999999999,3.47177225298877,2,1,2,1
2654208,1,23.4,3.48735601168416,2,1,2,1
2654208,1,23.6,3.50285518211498,2,1,2,1
2654208,1,23.7999999999999,3.51827100737553,2,1,2,1
2654208,1,24,3.53360470096768,2,1,2,1
2654208,1,24.2,3.5488574477714,2,1,2,1
2654208,1,24.4,3.56403040497475,2,1,2,1
2654208,1,24.6,3.57912470296558,2,1,2,1
2654208,1,24.8,3.59414144618661,2,1,2,1
2654208,1,25,3.60908171395603,2,1,2,1
2654208,1,25.1999999999999,3.62394656125491,2,1,2,1
2654208,1,25.4,3.63873701948347,2,1,2,1
2654208,1,25.6,3.65345409718729,2,1,2,1
2654208,1,25.8,3.66809878075523,2,1,2,1
2654208,1,26,3.68267203509023,2,1,2,1
5184,1,2.80000000000008,0.293682637210036,2,1,1,2
5184,1,2.89999999999998,0.399876548049676,2,1,2,1
5184,1,2.99999999999998,0.48012949922788,2,1,2,1
5184,1,3.19999999999996,0.606466870301773,2,1,2,1
5184,1,3.39999999999997,0.708681957162054,2,1,2,1
5184,1,3.59999999999997,0.79681769802529,2,1,2,1
5184,1,3.8,0.875416510651157,2,1,2,1
5184,1,4.00000000000001,0.946995820935936,2,1,2,1
5184,1,4.20000000000003,1.01312480394597,2,1,2,1
5184,1,4.39999999999999,1.07486051467478,2,1,2,1
5184,1,4.6,1.13295557377867,2,1,2,1
5184,1,4.79999999999998,1.1879686123322,2,1,2,1
5184,1,5,1.24032794840138,2,1,2,1
5184,1,5.2,1.29037064724064,2,1,2,1
5184,1,5.39999999999996,1.33836768922713,2,1,2,1
5184,1,5.60000000000003,1.38454084889859,2,1,2,1
5184,1,5.80000000000001,1.42907439781766,2,1,2,1
5184,1,6.00000000000001,1.47212344975772,2,1,2,1
5184,1,6.19999999999997,1.51382005642444,2,1,2,1
5184,1,6.39999999999998,1.55427775379429,2,1,2,1
5184,1,6.59999999999997,1.59359501524584,2,1,2,1
5184,1,6.79999999999998,1.63185791687235,2,1,2,1
5184,1,7.00000000000001,1.66914222433368,2,1,2,1
5184,1,7.20000000000001,1.70551504783168,2,1,2,1
5184,1,7.39999999999996,1.7410361697907,2,1,2,1
5184,1,7.60000000000003,1.77575912113176,2,1,2,1
5184,1,7.80000000000003,1.8097320620562,2,1,2,1
5184,1,8.00000000000007,1.84299850911548,2,1,2,1
5184,1,8.20000000000006,1.87559794017716,2,1,2,1
5184,1,8.39999999999999,1.90756630148484,2,1,2,1
5184,1,8.60000000000003,1.93893643553387,2,1,2,1
5184,1,8.80000000000001,1.96973844439194,2,1,2,1
5184,1,9,2,2,1,2,1
5184,1,9.19999999999997,2.02974661062705,2,1,2,1
5184,1,9.39999999999998,2.05900185083196,2,1,2,1
5184,1,9.59999999999997,2.08778756086947,2,1,2,1
5184,1,9.8,2.11612402036781,2,1,2,1
5184,1,9.99999999999999,2.14403010022796,2,1,2,1
5184,1,10.2,2.17152339599684,2,1,2,1
5184,1,10.4,2.19862034540709,2,1,2,1
5184,1,10.6,2.22533633232504,2,1,2,1
5184,1,10.8,2.25168577898244,2,1,2,1
5184,1,11,2.27768222806872,2,1,2,1
5184,1,11.1999999999999,2.30333841601573,1,2,2,1
5184,1,11.4,2.32866633860425,2,1,2,1
5184,1,11.6,2.35367730985473,1.5,1.5,2,1
5184,1,11.8,2.37838201502463,2,1,2,1
5184,1,12,2.40279055841865,1,2,2,1
5184,1,12.2,2.4269125066197,1,2,2,1
5184,1,12.4,2.45075692766633,1,2,2,1
5184,1,12.6,2.47433242663209,1,2,2,1
5184,1,12.8,2.49764717800315,1,2,2,1
5184,1,13,2.52070895519976,1,2,2,1
5184,1,13.2,2.54352515754396,1,2,2,1
5184,1,13.4,2.5661028349387,1,2,2,1
5184,1,13.6,2.58844871049157,1,2,2,1
5184,1,13.8,2.61056920128876,1,2,2,1
5184,1,14,2.632470437501,1,2,2,1
5184,1,14.2,2.65415827998245,1,2,2,1
5184,1,14.4,2.6756383365054,1,2,2,1
5184,1,14.6,2.69691597675802,1,2,2,1
5184,1,14.8,2.71799634621836,2,1,2,1
5184,1,15,2.73888437900616,2,1,2,1
5184,1,15.2,2.75958480980281,2,1,2,1
5184,1,15.3999999999999,2.78010218492096,2,1,2,1
5184,1,15.6,2.80044087259686,2,1,2,1
5184,1,15.8,2.82060507257085,2,1,2,1
5184,1,16,2.84059882501572,2,1,2,1
5184,1,16.2,2.86042601886603,2,1,2,1
5184,1,16.4,2.88009039959704,2,1,2,1
5184,1,16.6,2.89959557649698,2,1,2,1
5184,1,16.8,2.91894502947258,2,1,2,1
5184,1,17,2.93814211542352,2,1,2,1
5184,1,17.2,2.95719007421951,2,1,2,1
5184,1,17.4,2.97609203430904,2,1,2,1
5184,1,17.6,2.99485101798764,2,1,2,1
5184,1,17.8,3.01346994635059,2,1,2,1
5184,1,18,3.03195164395263,2,1,2,1
5184,1,18.2,3.05029884319575,2,1,2,1
5184,1,18.4,3.06851418846428,2,1,2,1
5184,1,18.6,3.08660024002455,2,1,2,1
5184,1,18.8,3.1045594777057,2,1,2,1
5184,1,19,3.12239430437605,2,1,2,1
5184,1,19.2,3.14010704922916,2,1,2,1
5184,1,19.4,3.15769997089169,2,1,2,1
5184,1,19.6,3.1751752603652,2,1,2,1
5184,1,19.8,3.1925350438122,2,1,2,1
5184,1,20,3.20978138519678,2,1,2,1
5184,1,20.2,3.22691628878859,2,1,2,1
5184,1,20.4,3.24394170153907,2,1,2,1
5184,1,20.6,3.26085951533761,2,1,2,1
5184,1,20.7999999999999,3.27767156915499,2,1,2,1
5184,1,21,3.29437965108094,2,1,2,1
5184,1,21.2,3.31098550026216,2,1,2,1
5184,1,21.3999999999999,3.32749080874656,2,1,2,1
5184,1,21.6000000000001,3.34389722323944,2,1,2,1
5184,1,21.8,3.36020634677632,2,1,2,1
5184,1,22,3.37641974031768,2,1,2,1
5184,1,22.1999999999999,3.39253892426949,2,1,2,1
5184,1,22.4,3.40856537993421,2,1,2,1
5184,1,22.6,3.42450055089573,2,1,2,1
5184,1,22.8,3.44034584434206,2,1,2,1
5184,1,23,3.45610263232912,2,1,2,1
5184,1,23.1999999999999,3.47177225298877,2,1,2,1
5184,1,23.4,3.48735601168416,2,1,2,1
5184,1,23.6,3.50285518211498,2,1,2,1
5184,1,23.7999999999999,3.51827100737553,2,1,2,1
5184,1,24,3.53360470096768,2,1,2,1
5184,1,24.2,3.5488574477714,1,2,2,1
5184,1,24.4,3.56403040497475,1,2,2,1
5184,1,24.6,3.57912470296558,1,2,2,1
5184,1,24.8,3.59414144618661,1,2,2,1
5184,1,25,3.60908171395603,1,2,2,1
5184,1,25.1999999999999,3.62394656125491,1,2,2,1
5184,1,25.4,3.63873701948347,1,2,2,1
5184,1,25.6,3.65345409718729,1,2,2,1
5184,1,25.8,3.66809878075523,1,2,2,1
5184,1,26,3.68267203509023,1,2,2,1
